class_label,document
positive,"gold prices recover on global cues, jewellers' buying"
positive,Gold ends slightly higher as traders look for clues on monetary policy
none,"Turn assets in gold, realty into financial savings'"
none,"gold fund catches bitcoin fever as prices may soon hit $10,000"
negative,Gold prices to trade lower today: Angel Commodities
negative,"feb. gold at three-week low, down $10 on globex"
negative,august gold down $10.20 to $938.30 an ounce on nymex
none,"fat prophets commodity bets: gold, zinc, copper"
positive,gold trims advance on greek vote
positive,gold rises ahead of fomc minutes
positive,"gold notches fresh record, silver at 30-year high"
none,bmo: gold to rally whenever fed pauses on tightening
positive,Gold ends near 10-week high in Trump era as dollar wobbles
positive,april gold last up 10 cents at $658.80/oz
positive,"dec gold trades at $499.80/oz, up $5.20"
negative,"metals indexes close broadly lower on gold, copper weakness"
positive,gold spikes to one-month high on buying frenzy
positive,"august gold closes at $356.20 an ounce, up $3.40"
negative,april gold down 80 cents at $930 an ounce on nymex
none,gold futures end atop $428 an ounce
none,this week in mutual funds: gold's fat finger
negative,dec gold futures down $1.80 at $474.80 an ounce
none,axis mf launches new exchange traded gold fund
negative,Gold futures turn a bit lower ahead of Comex settlement
negative,gold slips as dollar gains on new home sales data
negative,Gold futures end the session at lowest level in a week
positive,Gold prices up 0.33% on domestic demand
negative,Gold futures hold losses after housing data
positive,Gold holds ground at highest settlement in about two weeks
positive,Gold Prices at 4-Month Highs as U.S. Dollar Plunges
positive,gold rate today: gold futures rise 0.22% on fresh bets
positive,gold gains as concern about us budget talks increases demand
positive,"June gold settles at $1,274.20/oz, up $20.30, or 1.6%"
negative,"june gold down $11, or 0.8%, at $1,297.60/oz"
negative,has gold lost its midas touch?
positive,gold futures heads higher for a seventh session
negative,"gold ends lower, then gains in electronic trade after fomc minutes"
none,"Sell Comex gold if it rallies to $1,197-1,200/oz"
none,bofa keeps 12-month gold price target
positive,"Gold settles lower, then climbs in electronic trade after Fed minutes"
negative,gold dips as china growth sparks rate fears
positive,gold up 2.5 percent as global stock rout spreads to europe
positive,"gold holds near three-week high, set for weekly rise"
positive,gold prices settle at a roughly 4-month high
negative,MCX GOLDGUINEA Jan contract down slightly
positive,Gold futures jump after economic reports
positive,metals focus sees gold climbing to $1 450/oz this year
positive,gold futures score a rise of 2.5% for the week
negative,"august gold falls $11, or 1.2%, to $886/oz in ny"
positive,"Gold at new high of Rs 28,230; gains Rs 80"
negative,gold crashes on global meltdown
none,Bitcoin is now worth more than an ounce of gold for the first time ever
none,"Feb. gold at $1,166.80/oz in electronic trade vs. $1,165.30 settlement"
positive,"gold closes up $13, scores weekly gain of over 3%"
positive,"august gold finishes up $6.30, or 0.5%, at $1,231.80/oz."
negative,"gold slips below rs 27,000 in futures trade on global cues"
positive,Gold prices mark a six-week high
positive,Gold futures up by Rs 87 on firm global cues
positive,Gold jumps 1% amid dwindling odds of September rate hike
negative,gold futures edge lower in electronic trading
positive,gold holds in positive territory after empire state manufacturing data
negative,"Gold adds to slight loss after ADP shows private-sector job growth of 237,000 for August"
negative,gold prices mark lowest settlement since mid-august
negative,gold falls for first time in four days
none,gold imports in 2013-14 to be less than 845 tonnes: fm
none,dutch central bank repatriates some gold reserves
none,not everything that glitters is gold
negative,"Gold ends with a loss as the U.S. dollar, stocks rise as tax plan moves forward"
positive,Gold gains as debt concern spurs demand
positive,dec. gold climbs $2.20 to $624.70/oz in ny
positive,"Gold, silver futures rise on firm global cues"
negative,Gold prices to trade lower: Angel Commodities
positive,mcx goldguinea november contract gains
none,charts : gold is consigned to lameness
none,gold futures close near $334 an ounce
negative,"Gold falls to <U+20B9>28,938 at futures trade"
negative,"gold trades lower, drops sharply after jobs data"
positive,"august gold up less than 0.1% at $1,251.70/oz."
positive,"gold, energy lead bay street rally"
negative,Spot Gold trades lower
positive,"Gold futures rise to Rs 28,098 per 10 gm"
positive,gold futures hold onto gains ahead of comex close
positive,will rising interest rates push gold higher?
positive,copper hits intraday record high; gold up
positive,Gold jumps as US payrolls data misses forecasts
negative,"Dec. gold falls $1.20, or less than 0.1%, to $1,274.60/oz"
negative,wobbly gold heads for narrow weekly drop as surging silver pulls back
negative,"gold slides below $1,200 as markets await fed rate message"
none,gold futures metals shares ease back
positive,"august gold rises 1.1% at $1,263.30/oz."
positive,"Gold, silver firm up on Cyprus imbroglio"
neutral,"silver plunges on lack of support, gold remains firm"
negative,Gold prices register third decline in 4 sessions
negative,gold prices move lower on powell remarks
none,WGC sees India's gold demand at 965 t in 2013
positive,Gold prices tally highest settlement in 3 weeks
negative,Gold prices log worst monthly loss since June 2013
negative,"feb. gold settles at $1,246.90/oz, down $1.50, or 0.1%"
positive,"August gold climbs $4.50, or 0.4%, to $1,246.50/oz"
negative,"Gold prices marginally lower in Mumbai, Delhi market"
negative,"june gold drops $27.90, or 2.1%, to settle at $1,290.30/oz"
positive,gold recovers from a three-week low to end slightly higher
negative,dec gold falls $2.50 to $413/oz in afternoon dealings
negative,gold futures finish lower on hawkish fed expectations
positive,"gold, silver soar after us fed minutes; palladium hits over 16-year high"
negative,"charts : gold price forecast: eyes $1,240 after fresh 2018 low"
negative,gold ends off lows as price fall sparks buying
positive,"gold up $22.50, 1.6%, to $1,431.20 oz after data"
negative,"Gold edges lower after upbeat U.S. data, Iraq turmoil limits losses"
negative,Gold prices log 7th straight loss
negative,gold holds lower after pce report
neutral,gold prices to trade sideways today: angel commodities
negative,"gold drops $9.50 to settle at $1,306.20/oz"
positive,gold erases weekly gain as prices drop after ecb decision
positive,Gold prices gain in Asia on physical demand
negative,"gold falls to rs 27010, silver down by rs 500 on asian cues"
positive,Gold prices up more than 1% on dovish Fed minutes
negative,"gold futures close at seven-week low, down over $6 an ounce"
positive,gold notches a minor gain to end at a more than 1-week high
none,"commodity outlook: gold may have a tough time near rs 31,500"
positive,Gold jumps to highest in over 2 years on renewed Brexit concerns
positive,"gold rate today: gold, silver up in morning trade"
positive,"June gold rises $5, or 0.4%, at $1,235/oz."
positive,"gold futures climb, but back off levels above $730"
negative,"December gold settles $2.10, or 0.2%, lower at $1,262.60/oz."
positive,april gold up $17.90 at $984.20 an ounce on nymex
positive,"gold edges higher, trades at $1,431.20 an ounce"
positive,Gold halts 5-session skid to end firmly higher
positive,"gold ends higher, shakes off early weakness"
positive,Gold futures gain roughly 3.5% for the month
positive,Gold rallies to May high as Trump worries spark haven bid
positive,Gold books gain for second straight session
neutral,mcx goldm may contract trading flat
positive,"perth mint's july gold, silver sales surge"
negative,Gold futures fall near session lows as Yellen testifies at House hearing
positive,"Gold futures hits record high at Rs 22,769/10 gm"
none,gold banc corp 1q earns 21c vs 34c
positive,"gold rebounds on seasonal demand, global cues"
none,"do not buy gold, silver at current level: kunal shah"
positive,silver and gold lurch higher after early dive
negative,gold ends at lowest in nearly two weeks
negative,Gold eases on lack of buying; silver marginally up
positive,"gold futures up 0.33 per cent on global cues, spot demand"
negative,gold falls for seventh day as investors liquidate positions
positive,gold up on weaker dollar to mark 9th yearly gain
negative,gold futures end with a loss of almost $10
positive,"crude oil, gold stay up after income data"
positive,"Gold extends gains on safe-haven bids, fund inflows"
positive,"Dec. gold last up 90 cents, or less than 0.1%, at $1,325.50/oz"
none,"losing gold, energy stocks pummel toronto stocks"
positive,"UPDATE: August gold up 0.1% at $1,220.40/oz."
negative,"gold falls in early trade, rs 28,820 key level to watch"
positive,gold futures up $3.10 at $587.50 an ounce
negative,"june gold down $5.40, or 0.4%, at $1,266.10/oz."
negative,gold futures close 0.7% lower; silver off 1.9%
positive,gold rises $4.60 per ounce
positive,Gold futures recoup most of what they lost on Friday
positive,gold logs first gain in three sessions before fed decision
negative,"august gold futures down $9.20, or 0.7%, to $1,295.50 an ounce"
negative,"April gold off $11.80, or 0.9%, at 1,238.60/oz."
negative,strong economic data cause declines in gold - will this last?
negative,"aug. gold loses $5.80 for the session to settle at $1,163.50/oz on comex"
positive,"stocks rise depite weakness in oil, gold prices"
none,gold miners propel canada stocks up 1%
negative,gold prices slip on stronger dollar; bullion seen re-testing low
none,"sharps pixley: russian gold reserves - now 1,800 tonnes and rising"
none,canadian stocks lifted by gold
none,Gold ETFs witness outflow of Rs 363 cr in April-August
none,"akshaya tritiya, weak rupee may limit downside in gold"
negative,gold ends down first week in five as dollar gains
negative,Gold falls to 2-month lows as markets await U.S. jobs data
none,time to go for the gold?
positive,gold futures climb by more than $50/oz
positive,Gold prices to trade higher today: Angel Commodities
positive,"Gold, silver prices notch third straight session climb"
positive,Gold logs a gain as focus turns to U.S. presidential debate
negative,philadelphia gold and silver index down 3.4% for week
negative,"Gold falls on U.S. jobs report, though ECB move trims losses"
positive,"gold moves higher on geopolitical tension, takes yellen in stride"
negative,Gold falls from 3-month high ahead of Fed statement
negative,gold-to-silver ratio may favor silver
negative,"August gold down $9.10, or 0.7%, at $1.266.30/oz."
negative,Gold futures suffer a second day of losses
none,"financial, gold losses offset by oil, tech gains"
positive,gold pares gains as dollar bounces off session lows
none,"Gold finishes near break-even at $1,238.90/oz., off 20 cents or less than 0.1%"
positive,Gold futures gain for the first time in 5 sessions
positive,gold prices turn higher as the u.s. dollar weakens
negative,Expect Gold prices to trade lower: Angel Commodities
none,"e*trade: gold, financials, shorting all ways to play inflation"
positive,"gold shoots up dovish fed language, shrugs off data"
negative,gold prices mark largest one-day loss in nearly 6 weeks
negative,"Dec. gold falls $5.50, or 0.4%, to settle at $1,339/oz"
positive,"spot gold quoted at $423.40, up 60c from new york"
positive,philadelphia gold & silver index rises 2.4%
positive,gold futures score best one-day climb in 2 weeks
positive,MCX GOLDM Nov contract makes smart gains
positive,"August gold climbs $6.20, or 0.5%, to settle at $1,233.70/oz"
positive,"Gold prices gain into Asia, Iraq, easy monetary policies, support"
positive,"gold ends up, posts a weekly gain of over $27"
positive,"Gold climbs to record high of Rs 30,750 per 10 gm"
none,gold traders find another route to offset duty
none,Akshaya Tritiya 2018: Has the bull market in gold begun?
negative,"Gold, silver slide on weak global cues, sluggish demand"
positive,spot gold quoted at $404.10 in asia trade
negative,gold futures drop back to lowest finish since december
none,"Now, gold can be deposited in bulk directly with refiners"
positive,"june gold ends at $1,224.20/oz, up $5.30, or 0.4%"
positive,gold futures close up by 1%; metals shares higher
positive,"Gold futures up at Rs 27,272 per 10 gm"
positive,gold rises rs 52 on positive global cues
negative,gold demand slips as crops fail to earn
positive,cboe gold index up 0.9%
negative,"Gold futures decline Rs 145 on profit-booking, global cues"
negative,"Dec. gold settles at $1,269.60/oz, down $9.40, or 0.7%"
negative,"gold settles with third straight session loss, down on month"
positive,gold futures rally to a fresh mid-1988 high near $458
negative,"June gold falls $12.80, or 1%, to settle at $1,255.50/oz"
positive,"Gold holds firm gain, up 0.8%, at $1,288.40/oz., after data"
negative,"Gold falls to Rs 32,310; silver moves down by Rs 150 per kg"
none,sp angel : gold still holds its haven status
none,gold price: find all the latest trends and news about gold
negative,"Dec. gold down $6.40, or 0.5%, at $1,271.30/oz"
positive,Gold futures mark best settlement in about 2 weeks
negative,"gold back to red, trades at $1,371 an ounce"
none,sell mcx gold feb fut around rs 31140: fortune financial
positive,Gold rises on fresh demand offsets tapering concern
none,gold price outlook for rest of 2018: it could soar on surging demand
none,gold discount disappears as market turns positive
positive,"Gold settles at 2-month high on Brexit, Trump jitters"
positive,"December gold gains $12.40, or 1%, to settle at $1,281.60/oz."
negative,gold futures settle lower after two-session climb
positive,"gold dips, dollar gains as markets pause after two-day rally"
negative,gold settles at lowest level in nearly four weeks
positive,"Gold climbs for the session, ends nearly flat for the week"
negative,Gold futures lose 0.3% for the week
positive,Gold prices inch up on steady dollar
negative,"Gold falls on weak global cues, lacklustre demand"
none,third tranche of sovereign gold bond scheme on oct 9
positive,spot gold prices rise 80 cents to $881.90 a barrel
positive,"Gold pares gain slightly after data, up 0.5% at $1,295/oz."
neutral,"gold steady, on track for first monthly loss in three"
negative,Gold ends lower as French election result takes shine off havens
none,"Commodity outlook: Gold has stiff resistance at Rs 29,665 level"
positive,Gold prices gain in Asia with Ukraine events offering support
negative,"Gold settles at a nearly 2-month low as dollar, equities strengthen"
negative,Gold prices trim losses after mixed U.S. data
positive,"gold rises 1% to $1,211.30 after jobs data"
negative,Gold futures finish with a weekly loss of almost 0.1%
positive,"Gold futures open higher at Rs 30,952 per 10 gm"
positive,"spot gold quoted at $430.20, up 10c from new york"
negative,friday's drop in gold futures
negative,gold futures rebound from six-week low
none,"Gold prices ease in Asia, focus on U.S. Fed announcement"
negative,"gold slips but italy vote, trade war fears provide support"
negative,"june gold down 0.9%, or $6, at $677.50/oz in ny"
positive,gold futures end at one-week high
positive,gold futures top $400
none,Commodity markets at crossroads; demand for gold wanes
positive,Gold edges up for a third straight session
positive,Gold futures mark highest settlement since Sept. 30
positive,june gold rises $3.20 to $602.60/oz after $604 high
negative,"Gold futures down at Rs 27,917 per 10 gm"
negative,gold futures down 6.20 at $655.80 an ounce
positive,Gold maintains rising trend in futures trade on duty hike
none,silver : gold/silver price ratio: an epic opportunity in silver
negative,june gold down $1.20 at $936.30 an ounce on nymex
neutral,"Gold futures hold steady as markets await Fed, Yellen"
neutral,gold holds near two-week highs as cautious yellen hurts dollar
negative,"Gold skids on weak demand, silver too slumps"
negative,"December gold closes $23, or 1.7%, to settle at $1,344.40/oz."
neutral,Gold prices flat in Asia with all eyes on the Fed
positive,gold zooms to all-time high on marriage season demand
positive,Gold futures settle at a nearly three-week high
none,"paulson, soros upped gold holdings last quarter"
negative,gold extends losses from last week as fed rate hike view weighs
positive,"Dec. gold settles at $1,347.50/oz, up $4.30, or 0.3%"
none,"government reduces tariff value on gold, silver"
negative,dec gold falls 30c to end at $469.10/oz
negative,mcx goldm nov contract declines
positive,"dec. gold settles at $1,233.60/oz, up $2.10, or 0.2%"
positive,Gold ends at highest level since early November as geopolitical jitters linger
negative,"gold ends lower, holds ground at a 5-week low"
positive,"canadian stocks drop, led by oil, gold"
positive,metals shares up on gold's price gain
positive,gold prices touch two-week high amid subdued us dollar
positive,"December gold rises 0.1% at $1,279.40/oz."
none,chinese gold mining industry: a story of growth
none,"How will a weak rupee-dollar impact crude oil, gold and base metals?"
negative,"Gold, silver lower ahead of U.S. spending, jobless claims data"
positive,african barrick gold up 3.8% after drilling update
none,correct: newmont sells black gold oil-sands land for $280m
negative,"August gold down 0.2% at $1,244/oz."
none,"roubini: why gold, 'that barbarous relic,' will trade below $1,000 by 2015"
negative,"Gold futures drop to Rs 29,917 on global cues"
negative,"gold ends lower, but gains on the week"
none,guy who called gold's bottom says it could jump 10% over next 9 months
positive,gold futures run towards fresh record levels
negative,"april gold settles at $1,224/oz, down $24.60, or 2%"
negative,"gold falls on upbeat jobs data, stronger dollar"
positive,Gold up a 4th session to hold ground at three-month high
negative,"Dec. gold falls $2.40, or 0.2%, to settle at $1,267.50/oz"
positive,gold maintains an upward march on firm global cues
positive,"Gold prices end at highest level in a month, up over 2% for the week"
negative,gold remains lower after economic data
positive,"gold settles up 0.3% at $1,242.40/oz"
negative,gold futures may turn bearish this week on strong dollar
positive,"charts : gold clears 200-dma hurdle, surges to 1-month tops"
negative,gold futures settle with 0.3% loss
positive,Gold prices end the week 2.3% higher
negative,Gold prices mark lowest settlement in nearly two months
none,"morgan stanley's best picks for 2013: gold, silver"
positive,"rupee up against dollar, gold recovers by rs 60"
none,Iamgold's stock rally after gold discovery and upgrade extends win streak to longest in 6 years
positive,"gold settles 3.5% higher at $1,604.20 an ounce"
positive,"December gold $4.20, or 0.3%, higher at $1,277.70/oz."
none,Alamos Gold upgraded to outperform from sector perform at RBC Capital
negative,Gold extends bounce off 3-1/2-month lows after ADP disappoints
negative,"Feb. gold settles at $1,188.40/oz, down $1.40, or 0.1%"
negative,gold declines as dollar strengthens
positive,gold futures head for three-session win
positive,"December gold trades up $3.50, or 0.3%, at $1,225.50/oz."
negative,gold drops on us fiscal cliff talks as etp holdings at record
negative,"Dec. gold down $2.60, or 0.2%, to settle at $1,221.70/oz"
positive,"dec. gold up 80 cents at $1,337.70/oz on globex"
none,"npas are not an issue for gold loan companies: george alexander muthoot, muthoot finance"
negative,gold heads for lowest level since may
positive,"silver plunges on heavy sell-off, gold edges up"
none,india : gold demand in india seen falling to lowest in 8 years in 2017
negative,Gold holds firm loss after ADP private-sector jobs report
neutral,MCX gold hovers above key support
negative,Gold prices end at 1-week low as dollar recovers
negative,aram shishmanian to step down as ceo of the world gold council in 2019
neutral,"gold prices steady below 13-month high, fed speakers in focus"
none,sharps pixley: world top 20 gold producing nations in 2017 - not peak gold yet!
neutral,gold to trade in 30530-31282. range: achiievers equities
positive,Gold futures mark highest settlement since Nov. 7
positive,"north korea tensions, soft dollar give much-needed boost to gold, may top rs 30,300 level"
positive,"comex gold up 8.4% on quarter, down 5% on month"
negative,"gold futures fall rs 53 on weak global cues, profit-booking"
negative,june gold falls $5.10 to close at $586.70/oz
none,sprott : gold going
none,"gold, the dollar and bitcoin"
positive,Gold prices end modestly higher after three session decline
negative,"gold, silver slip on profit booking"
positive,gold futures touch five-week high above $410
none,gold's future draws nigh
positive,curb on south korean imports pushes up gold prices
positive,"2011: gold, silver touch all-time highs amid economic turmoil and rising inflation"
negative,"Gold futures down at Rs 26,815 per 10 gm"
negative,"comex gold loses more ground, trades near day's low"
positive,"Dec. gold climbs by 70 cents, or less than 0.1%, to settle at $1,279/oz"
none,"centre, states may settle for 4 per cent gst on gold, silver"
positive,"June gold settles at $1,236.40/oz, up $6.40, or 0.5%"
negative,Gold falls as market preps for dollar strengthening trend
negative,Gold trades at 3-month low as weak technical picture weighs
positive,"gold rises for third day on sustained buying, global cues"
negative,december gold down $4.80 to $800.90 an ounce on globex
negative,Gold moves down in futures trade on profit-booking
negative,"gold prices dip with focus on greece, euro, fed minutes"
negative,gold settles near 6-month low
none,silver : ice from the alps reveals europeans ditched gold for silver in ad 660
positive,Gold pares firm loss to trade at break-even levels as stocks pare gains in afternoon trade
positive,Gold prices move up today
neutral,"gold, silver move in narrow range"
negative,Gold futures off session highs as traders weigh Yellen's remarks
positive,"Gold ticks higher in thin Asia trade as Iran deal, U.S. jobs eyed"
positive,"Gold, silver futures extend gains on broad dollar weakness"
positive,"gold tops rs 30,000-mark, hits 3-week high on firm global cues"
negative,Gold turns lower after robust ADP jobs data
positive,Expect Gold to trade positive: Sushil Finance
positive,gold edges up to end august 12% higher
positive,Gold edges higher with Fed rate outlook in focus
positive,"dec. gold up $2.50 at $1,053.10/oz on globex"
negative,gold falls ahead of expected rate hike
positive,"June gold climbs $3.40, or 0.3%, to settle at $1,291.90/oz"
positive,December gold ekes out a slight gain
positive,gold futures up 0.38 pc on firm global cues
positive,"gold firms up on global cues, silver recovers"
positive,august gold up $8.70 to $937.30 an ounce on nymex
positive,Gold marks longest win streak in 2 months as U.S. dollar sinks
negative,"Gold falls to Rs 31,650 on weak global cues, muted demand "
positive,"Gold gains after jobless claims to trade around a 15-week high at $1,248.10, up 1.2%"
positive,gold recovers from 21-month lows; jumps by rs 680
negative,gold futures trade near 2-week low before fomc minutes
positive,gold ekes out a gain a day after falling to a 4-month low
positive,"Gold, silver futures move up on global cues"
positive,gold settles with biggest one-day gain in 3 weeks
negative,Gold slips on profit-taking
negative,"gold falls following conflicting reports in china, india"
positive,gold ends higher as traders mull investment appeal
negative,gold falls; oil down for a third session
positive,"gold at highest in two weeks, gains 1.9%"
none,barrick gold upgraded to outperform from sector perform at rbc capital
none,cpm group : politics expected to drive gold volatility in early 2019
positive,"gold prices jumps 500% in 7 years, what next?"
negative,gold down 50c at $618.30 an ounce
none,does gold know something that gold shares don't?
none,Yamana Gold upgraded to outperform from sector perform at RBC Capital
negative,"dec. gold turns lower, down 0.3% as dollar rises"
none,gold: what the crystal ball says
negative,gold slips as investors remain cautious following preliminary greek deal
positive,"dec. gold up 80 cents at $1,370.90/oz"
negative,"gold back to negative territory, at $1,628.90/oz"
none,Gold ETFs see <U+20B9>500 cr outflow in 2 months
none,Gold imports dip 45.6% to $2.05 bn in September
negative,"Gold futures open lower at Rs 29,355"
none,"2018 winter olympics: shaun white wins historic third gold medal, and redemption"
negative,MCX GOLD December contract down marginally
negative,silver falls; gold heads for longest slide in four years
positive,"dec. gold hits $1,185 an ounce, new record"
negative,"Gold settles down $7.90, or 0.6%, at $1,364.70 an ounce"
negative,"gold likely to fall towards rs 27,500 level on low demand, strong us data"
none,five timeless reasons why only gold is the best money
negative,Gold Rates: Prices decline today
negative,aug gold falls 30c to $424.30/oz in morning trade
negative,"December gold off 60 cents, or less than 0.1%, at $1,291.40/oz."
positive,Gold futures end higher after two-session decline
positive,"gold closes modestly up at $1,387 an ounce"
negative,"Gold little changed in New Year's Eve trade, eyes 11% loss in 2015"
neutral,"commodity outlook: gold faces a tall order at rs 31,850"
negative,gold futures hold to minor loss after data
negative,global gold demand falls by 9% in third quarter
none,gold is exhibiting an untidy uptrend and traders should be cautious
negative,gold futures fall 0.14 per cent on global cues
none,"At crossroads now, gold looks vulnerable"
negative,Gold futures finish with a modest loss as the dollar strengthens
positive,gold rises as dollar falls on tame cpi reading
negative,gold futures lower after august jobs report
positive,"june gold edges up by $2.80, or 0.2%, to settle at $1,350.70/oz"
negative,"losses in oil, gold futures intensify as dollar gains more ground"
positive,"gold marks over 1-week high, but us rate hike prospects curb gains"
positive,"gold futures up 1.5% for the session, still loses 1% on week"
positive,gold begins 2016 with a glitter on jewellers buying
none,Gold prices ease in Asia as investors focus on Fed rate hike timing
negative,comex gold marks first loss in three sessions
negative,"gold futures sink below $1,400 an ounce"
none,"Bitcoin the new gold? Yes, says one Wall Street strategist who sees a 21-fold surge"
negative,"gold settles 0.3% lower at $1,775.70 an ounce"
positive,"Gold surges 1% on global cues, spot demand"
negative,"gold, silver drop in morning trade"
positive,dec gold up $1 at $411 with 40 min left in the session
negative,"gold futures down on profit-taking, global cues"
positive,Gold closes higher to end two days of losses as dollar weakens
neutral,Expect Gold to trade sideways: Sushil Finance
negative,gold slips for a second-straight day
negative,gold prices mildly lower in tracking currency move
negative,"Gold edges lower but holds above $1,100 ahead of U.S. data, ECB"
negative,dec gold down $2.60 at $376.10; gold indexes down 1%
none,japan's gold imports surge 7-fold
positive,"December gold futures up 20 cents at $1,272 an ounce"
none,Import tariff value on gold hiked
positive,"August gold settles at $1,320.80/oz, up $1.30, or 0.1%"
negative,"dec. gold down $2.10, or 0.2%, at $1,370.50/oz"
negative,"Gold futures fall to Rs 30,281 on weak global cues"
negative,feb gold extends declines after hours on fed rate hike
negative,"gold ends 0.1% lower at $1,694 an ounce"
negative,gold slips after overnight breach of $400
negative,gold futures down almost $7 in afternoon trade
negative,"Gold futures down at Rs 31,345 on weak global cues"
negative,"gold drops over 2%; silver, copper take hits"
positive,"Dec. gold settles at $1,341.20/oz, up $6.70, or 0.5%"
negative,gold ends lower as dollar firms on greek delay
positive,gold futures climb above $400 to two-week high
negative,gold futures close with a 50-cent loss
negative,"gold, silver decline on stockist offering, global cues"
positive,gold extends gains to third day on ongoing uncertainty
positive,Gold ends at multiweek high after back-to-back advance
positive,"feb. gold gains $8.50, or 0.7%, to settle at $1,257.10/oz"
negative,Gold drops for first time in 5 days as investment demand falls
positive,"Dec. gold climbs $1.70, or 0.1%, to settle at $1,274.90/oz"
positive,"gold tallies third weekly gain on north korea news, weaker dollar"
negative,gold falls to 1-week low as dollar soars against euro on dovish draghi
none,"canada shares rise, but gold miners lag gains"
negative,crude advances; gold falls from record levels
negative,"Gold futures fall to Rs Rs 30,230 per 10 gm"
positive,"Gold logs a more than 8% quarterly rise, 0.2% higher for the week, but off 0.2% for the month"
negative,gold sees first annual decline in 2013: is it no longer a safe haven?
neutral,gold holds near 5-month highs after fed qe signal
positive,Commodity outlook: Gold fizzles out on strong dollar clout
negative,"Gold futures down at Rs 30,551 on weak global cues"
none,is gld as good as gold?
negative,"June gold settles at $1,248/oz, down $8.80, or 0.7%"
positive,spot gold prices rise $4 from ny to $367.75 in asia
positive,"Gold settles lower, but posts a more than 1% weekly gain"
positive,Gold notches fourth winning day in a row as dollar pulls back
negative,"Gold futures fall to Rs 31,400 on weak global cues"
positive,comex gold futures gain more ground
positive,expert tips: how to play falling oil & rising gold today
positive,"Glitter is back this Akshaya Tritiya, says World Gold Council India head"
positive,"gold futures up $2.70 at $1,120.70 an ounce"
positive,"August gold settles up $7.30, or 0.6%, at $1,275.90/oz."
negative,Gold prices to trade lower: Angel Commodities
positive,"Gold futures rise to Rs 29,206 on firm global cues"
negative,"gold settles under $1,300 after upbeat u.s. jobs data"
positive,june gold up $3.40 at $885.50 an ounce on nymex
positive,"gold adds rs 285, silver sheds rs 200 on global cues"
positive,"August gold settles at $1,214.70/oz, up $1.50, or 0.1%"
positive,Federal Reserve gives gold a reason to rise
none,gold's easy money lures wall street
positive,gold futures ease from two-month high
positive,gold settles 0.8% higher after fiscal cliff deal
positive,"gold, silver surges further on global cues"
negative,Gold futures fall on weak Asian trend
positive,"Gold pares gains, oil loses more ground after Fed announcement"
positive,Brexit: Gold glitters as investors look for safe haven
positive,"dec. gold up $2.30, or 0.1%, at $1,726.30/oz"
negative,"gold's down for the year, but set to shine in 2019"
positive,gold moves up on firm global cues
negative,"gold prices settle at lowest in a month, down 2% for the week"
positive,"GOLD AT HISTORIC HIGH: Crosses Rs 30,000/10 gm on global cues"
negative,"April gold drops $17.10, or 1.4%, to settle at $1,232.90/oz"
negative,gold futures down 80c at $945.00 an ounce
positive,"spot gold quoted at $425, up 30 cents from new york"
none,num wants 37% pay hike from gold miners over the next two years
positive,"Dec. gold edges up by 80 cents to settle at $1,278.10/oz"
positive,"india gold hits record high on global markets, rupee"
negative,"Gold futures down at Rs 27,945 per 10 grams"
negative,"equities' appeal pushes gold prices down to rs 30,250"
none,bank of mongolia purchases 1.1 tons of gold in january
negative,Bearish trend in gold; all eyes now on US
negative,"December gold down by 0.2% at $1,277.60/oz."
negative,"December gold ends 1.6% lower at $1,275.30 an ounce"
negative,gold prices end lower; copper bucks trend to post gains
none,"bullionvault : annual price patterns in gold, silver, platinum"
positive,"gold futures climb, but metals indexes fall"
negative,"gold closes marginally lower at $1,336.90/oz"
positive,gold edges up from multi-month low
positive,"gold extends gains to $1,250/oz after ism report"
negative,"june gold falls $26.80, or 1.7%, $1,550/oz"
positive,gold futures close above $700 for first time since oct. 1980
positive,"gold glitters,up rs 45 on seasonal demand;silver down by rs 250"
negative,Gold dips as US-China trade war fears props up dollar
positive,"december gold up $17.20, or 2.1%, to $833.50 an ounce globex"
negative,gold dips below rs 26k;hits over 3 month low on global cues
positive,gold hits five-month high on rising geopolitical tensions
positive,"dec. gold up $1.10 to settle at $1,287.40/oz"
positive,"April gold up 40 cents at $1,226.20/oz after $1,236 high"
negative,Gold prices mark 3-week low
negative,gold futures log lowest settlement since jan. 3
positive,gold futures settle more than $20 higher
positive,"Gold prices trading higher in Mumbai, Chennai market"
negative,"gold, silver down in morning trade"
positive,"Dec. gold settles at $1,326.70/oz, up $9.60, or 0.7%, for the session"
negative,gold futures drift lower; u.s. markets closed for thanksgiving
positive,"Gold steady, on track for longest string of weekly gains since January"
negative,Gold futures mark lowest settlement since mid-February
positive,"gold changes direction, post gains as dollar eases"
negative,gold futures decline rs 59 on profit-booking
positive,gold prices up $5 an ounce in late morning trade
none,Here's what Donald Trump would do to the price of gold
positive,"crude pushing $70 on strong dollar, though gold up"
none,"experts suggest trade for gold, silver & crude"
none,India's gold demand to remain flat this year: WGC
negative,feb. gold falls $4 to $631.90/oz in ny
positive,gold trades marginally up on pick-up in demand
none,see gold etfs earn interest post import hike: goldman sachs
negative,"August gold falls $9.80, or 0.8%, to settle at $1,246.70/oz."
negative,"april gold down $1.60, or 0.1%, at $1,604.50/oz"
negative,"gold eases on lacklustre trade, silver drops"
none,tiffany strikes gold as sales once again beat expectations
positive,gold pulls back from earlier rise
